SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-15_Hera,5498
DNA,DNA-24_Hera,13840
DNA,DNA-41_Hera,5550
DNA,DNA-43_Hera,1369
DNA,DNA-4_Hera,4348
DNA,calcopis3-556,6346
DNA/Academ,opeBru6-3231,1717
DNA/Academ,phoSen4-1352,1309
DNA/Academ,pieris3-396,2280
DNA/Crypton,melCin5-4138,7090
DNA/Helitron,DNA-1_Hera,2284
DNA/Helitron,Helitron-N10_LMi,1923
DNA/Helitron,Helitron-like-15_Hmel,1427
DNA/Helitron,Helitron-like-2_Hmel,1766
DNA/Helitron,Helitron-like-5_Hmel,6883
DNA/Helitron,Helitron-like-8_Hmel,1831
DNA/Mariner,MAR1_BM,2023
DNA/TcMar-Mariner,calcopis4-167,1103
DNA/TcMar-Tc1,bomMor3-614,2941
DNA/Zator,lerAcc2-184,1428
DNA/hAT,calcopis4-3,52679
DNA/hAT,calcopis5-1089,11758
DNA/hAT,pieris4-180,7093
DNA/hAT-Ac,calcopis3-672,1012
DNA/hAT-Blackjack,calcopis3-388,1290
DNA/hAT-Charlie,bomMor4-99,1770
DNA/hAT-Charlie,bomMor5-285,1579
DNA/hAT-Charlie,pieris3-897,1178
DNA/piggyBac,npiggyBac-6_Hmel,1240
LINE,pieris6-617,3865
LINE/CR1-Zenon,pieris4-653,1218
LINE/Jockey,calcopis4-1073,5958
LINE/Jockey,calcopis4-330,9034
LINE/Penelope,calcopis4-848,2896
LINE/Penelope,manSex4-222,1579
LINE/R1,calcopis3-961,1607
LINE/R1,lerAcc5-2868,4672
LINE/R1,melCin3-1001,20119
LINE/R1,papXut4-1184,1557
LINE/RTE,RTE-10_Hmel,1290
LINE/RTE,RTE-15_Hmel,1234
LINE/RTE,RTE-19_Hmel,8096
LINE/RTE,RTE-2_Hmel,1566
LINE/RTE-BovB,manSex4-136,1072
LINE/RTE-BovB,manSex4-300,3003
LINE/RTE-BovB,papGla6-538,1549
LINE/RTE-BovB,phoSen4-56,16780
LINE/RTE-RTE,calcopis4-856,3347
LINE/RTE-X,calcopis2-79,5150
LTR,calcopis5-1204,2481
LTR/Gypsy,calcopis6-3165,7283
NonLTR,RETRO-17_Hera,1198
NonLTR/CR1,ZENON_BM,4903
NonLTR/Daphne,Sake2_BM,1327
NonLTR/Penelope,Penelope-1_HMM,1437
RC/Helitron,bomMor4-165,6174
RC/Helitron,calcopis3-844,39440
RC/Helitron,calcopis5-643,3765
RC/Helitron,leptidea4-923,1329
RC/Helitron,lerAcc3-221,1681
RC/Helitron,lerAcc4-198,1158
RC/Helitron,lerAcc5-1133,3766
RC/Helitron,manSex4-38,1302
RC/Helitron,manSex4-543,1110
RC/Helitron,pieris5-1801,1598
SINE,melCin4-1234,1877
SINE,melCin4-150,1257
SINE,melCin4-237,1949
SINE,melCin4-239,4675
SINE,melCin4-313,3636
SINE,melCin4-819,1402
SINE,papPol3-368,7680
SINE,papXut4-37,1693
SINE,phoSen3-583,7020
SINE,phoSen4-1093,1233
SINE,phoSen4-1123,1874
SINE/tRNA,calcopis5-1042,20064
Unknown,bomMor3-531,1094
Unknown,bomMor3-753,1028
Unknown,bomMor4-116,1681
Unknown,bomMor4-188,7633
Unknown,bomMor4-254,1748
Unknown,bomMor4-493,3442
Unknown,bomMor4-80,1307
Unknown,calcopis2-205,5819
Unknown,calcopis2-224,3638
Unknown,calcopis2-362,3817
Unknown,calcopis2-59,3929
Unknown,calcopis3-112,20354
Unknown,calcopis3-1503,8952
Unknown,calcopis3-1634,1212
Unknown,calcopis3-18,5966
Unknown,calcopis3-180,59032
Unknown,calcopis3-364,4952
Unknown,calcopis3-429,9368
Unknown,calcopis3-541,3878
Unknown,calcopis3-837,1492
Unknown,calcopis3-874,1166
Unknown,calcopis4-102,1231
Unknown,calcopis4-1065,1511
Unknown,calcopis4-1136,1033
Unknown,calcopis4-119,23906
Unknown,calcopis4-1488,1379
Unknown,calcopis4-151,1576
Unknown,calcopis4-1567,1042
Unknown,calcopis4-1624,2491
Unknown,calcopis4-1737,1139
Unknown,calcopis4-1744,1068
Unknown,calcopis4-1860,1173
Unknown,calcopis4-1939,1456
Unknown,calcopis4-2,3301
Unknown,calcopis4-204,2289
Unknown,calcopis4-235,1042
Unknown,calcopis4-2473,1377
Unknown,calcopis4-29,1423
Unknown,calcopis4-298,26634
Unknown,calcopis4-311,4874
Unknown,calcopis4-33,2043
Unknown,calcopis4-43,3033
Unknown,calcopis4-433,2302
Unknown,calcopis4-515,1654
Unknown,calcopis4-565,27270
Unknown,calcopis4-657,1895
Unknown,calcopis4-671,1257
Unknown,calcopis4-682,50160
Unknown,calcopis4-691,2259
Unknown,calcopis4-84,5221
Unknown,calcopis4-929,1135
Unknown,calcopis4-949,1204
Unknown,calcopis4-992,1480
Unknown,calcopis5-142,2813
Unknown,calcopis5-2033,4069
Unknown,calcopis5-217,13615
Unknown,calcopis5-2264,3273
Unknown,calcopis5-2303,1808
Unknown,calcopis5-273,82261
Unknown,calcopis5-3430,9337
Unknown,calcopis5-406,3314
Unknown,calcopis5-4425,6377
Unknown,calcopis5-644,10371
Unknown,calcopis5-692,1516
Unknown,calcopis5-77,5692
Unknown,calcopis6-1087,3706
Unknown,calcopis6-2094,2152
Unknown,calcopis6-3015,2883
Unknown,calcopis6-3083,1140
Unknown,calcopis6-3123,1424
Unknown,calcopis6-3407,1038
Unknown,calcopis6-517,1006
Unknown,calcopis6-91,9343
Unknown,calcopis6-927,29768
Unknown,leptidea4-1369,1894
Unknown,leptidea5-3330,4137
Unknown,leptidea5-492,1503
Unknown,leptidea5-5073,1105
Unknown,leptidea5-55,4931
Unknown,lerAcc2-309,4753
Unknown,lerAcc4-512,1114
Unknown,lerAcc5-1163,2203
Unknown,lerAcc5-175,1979
Unknown,lerAcc5-821,1937
Unknown,manSex4-850,1868
Unknown,manSex4-87,1012
Unknown,manSex5-113,1961
Unknown,melCin4-186,1119
Unknown,melCin4-244,5344
Unknown,melCin4-423,1187
Unknown,melCin4-424,1962
Unknown,melCin4-656,2131
Unknown,melCin4-851,3179
Unknown,melCin5-417,2231
Unknown,melCin5-44,2527
Unknown,melCin5-587,3844
Unknown,melCin6-769,7849
Unknown,opeBru3-680,2296
Unknown,opeBru4-320,9071
Unknown,opeBru4-478,2922
Unknown,opeBru5-1263,2310
Unknown,opeBru5-1354,1393
Unknown,opeBru5-1675,3580
Unknown,opeBru5-241,2966
Unknown,opeBru5-74,1490
Unknown,opeBru6-1817,2512
Unknown,opeBru6-3878,1795
Unknown,papGla2-10,2811
Unknown,papGla3-120,1160
Unknown,papGla3-208,1289
Unknown,papGla4-862,3207
Unknown,papGla5-1934,1298
Unknown,papGla5-2866,4162
Unknown,papGla5-353,1458
Unknown,papGla5-3915,1695
Unknown,papGla6-2002,1034
Unknown,papGla6-730,1023
Unknown,papPol4-930,1369
Unknown,phoSen4-1812,4147
Unknown,phoSen5-398,2714
Unknown,phoSen6-1585,1833
Unknown,phoSen6-3053,1087
Unknown,phoSen6-467,1096
Unknown,pieris3-419,6000
Unknown,pieris3-420,1461
Unknown,pieris3-433,2771
Unknown,pieris3-510,2301
Unknown,pieris3-849,3302
Unknown,pieris3-901,1435
Unknown,pieris3-923,1295
Unknown,pieris4-1079,1577
Unknown,pieris4-127,2685
Unknown,pieris4-1284,1246
Unknown,pieris4-16,1288
Unknown,pieris4-1883,1129
Unknown,pieris4-190,1195
Unknown,pieris4-222,1334
Unknown,pieris4-26,2037
Unknown,pieris4-309,4054
Unknown,pieris4-340,2650
Unknown,pieris4-356,1582
Unknown,pieris4-365,1144
Unknown,pieris4-376,5561
Unknown,pieris4-389,2789
Unknown,pieris5-1183,4951
Unknown,pieris5-1411,1898
Unknown,pieris5-1843,1166
Unknown,pieris5-1931,5687
Unknown,pieris5-480,5275
Unknown,pieris5-640,1347
Unknown,pieris5-9,2386
Unknown,pieris6-258,2858
Unknown,pluXyl4-2534,1678
