SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,bomMor5-1573,2277
DNA,calcopis3-556,1364
DNA/Sola,melCin4-717,1009
LINE/CR1-Zenon,pieris4-653,1233
LINE/CR1-Zenon,pieris5-1489,2552
LINE/CRE,melCin5-1545,1955
LINE/CRE-II,pieris4-492,1848
LINE/L2,pieris3-193,4489
NonLTR/CR1,ZENON_BM,3794
RC/Helitron,bomMor3-155,2685
RC/Helitron,melCin4-48,1985
SINE/tRNA,opeBru3-211,4985
SINE/tRNA,papGla3-521,2118
SINE/tRNA,phoSen3-267,3367
SINE/tRNA,pieris3-78,8205
Unknown,bomMor3-62,1068
Unknown,bomMor4-362,1017
Unknown,bomMor4-625,3591
Unknown,bomMor5-423,1120
Unknown,calcopis4-682,2592
Unknown,leptidea2-279,1051
Unknown,leptidea4-392,1683
Unknown,leptidea4-668,1222
Unknown,leptidea5-1302,1375
Unknown,leptidea5-1701,1245
Unknown,lerAcc2-345,1425
Unknown,manSex5-2706,2091
Unknown,manSex5-86,1877
Unknown,melCin4-469,2857
Unknown,melCin4-557,1439
Unknown,melCin4-71,1837
Unknown,melCin5-2491,1316
Unknown,melCin5-587,9522
Unknown,opeBru4-478,1381
Unknown,papXut5-277,1057
Unknown,phoSen4-206,1133
Unknown,pieris3-245,2107
Unknown,pieris3-98,1208
Unknown,pieris4-2464,1481
Unknown,pieris5-1224,1567
Unknown,pieris5-179,3147
Unknown,pieris6-4638,1481
Unknown,pieris6-465,1566
Unknown,pluXyl4-648,1327
