SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-4_Hera,13224
DNA/Helitron,Helitron-1_BM,13154
DNA/Mariner,ANM4,1430
DNA/Mariner,BMMAR3,4209
DNA/Mariner,MAR1_BM,1773
DNA/Mariner,Mariner-1_BM,8267
DNA/Mariner,Mariner-4_BM,1552
DNA/Sola,bomMor3-473,8767
DNA/TcMar-Tc1,bomMor3-614,2603
DNA/TcMar-Tc1,melCin6-707,1925
DNA/TcMar-Tigger,bomMor3-43,1521
DNA/hAT-Charlie,bomMor4-99,1243
DNA/hAT-Charlie,bomMor5-285,1289
LINE/Jockey,bomMor6-16,4121
LINE/R1,leptidea5-2231,1406
LINE/RTE,RTE-19_Hmel,2738
LINE/RTE,RTE-20_Hmel,1616
LINE/RTE,RTE-2_Hmel,1851
LINE/RTE-BovB,bomMor4-313,1048
LINE/RTE-BovB,bomMor5-1624,1140
LINE/RTE-BovB,lerAcc6-191,1026
LTR,LTR1_BM,1152
LTR/Gypsy,pluXyl3-3,2217
NonLTR/CR1,ZENON_BM,43488
NonLTR/Daphne,Sake2_BM,7436
NonLTR/Daphne,Sake_BM,2606
NonLTR/Jockey,BMC1,10190
NonLTR/Jockey,L1BM,1818
NonLTR/Jockey,L1B_BM,12521
NonLTR/Jockey,LINE1_BM,12657
NonLTR/L1,BM2A,37149
NonLTR/R1,HOPEBm2,4775
NonLTR/R1,R1-1_BM,1047
NonLTR/R1,R1-5_BM,1207
NonLTR/RTE,RTE-1_BM,1586
NonLTR/RTE,RTE-3_BM,5951
NonLTR/RTE,RTE-6_BM,1098
NonLTR/SINE2,BM1,44882
NonLTR/SINE2,BmSE,4776
RC/Helitron,bomMor3-149,19809
RC/Helitron,bomMor3-155,3560
RC/Helitron,bomMor3-270,5237
RC/Helitron,bomMor4-165,1318
RC/Helitron,calcopis4-1984,3142
SINE,melCin4-1234,2779
SINE,melCin4-313,1083
SINE,papXut4-37,2743
SINE,phoSen3-583,3922
SINE/U,bomMor4-203,1572
SINE/tRNA-CR1,bomMor3-108,94983
SINE/tRNA-CR1,bomMor3-397,45150
SINE/tRNA-CR1,bomMor6-6,4998
Unknown,bomMor2-1272,4786
Unknown,bomMor3-1094,2551
Unknown,bomMor3-137,4824
Unknown,bomMor3-1473,3740
Unknown,bomMor3-1592,3691
Unknown,bomMor3-168,1248
Unknown,bomMor3-216,3857
Unknown,bomMor3-222,5604
Unknown,bomMor3-23,5742
Unknown,bomMor3-233,3857
Unknown,bomMor3-36,5395
Unknown,bomMor3-385,1721
Unknown,bomMor3-39,1077
Unknown,bomMor3-455,2022
Unknown,bomMor3-483,8152
Unknown,bomMor3-501,1440
Unknown,bomMor3-531,4078
Unknown,bomMor3-56,8056
Unknown,bomMor3-678,2073
Unknown,bomMor3-711,1411
Unknown,bomMor3-715,1640
Unknown,bomMor3-731,2069
Unknown,bomMor3-753,4923
Unknown,bomMor3-785,2139
Unknown,bomMor3-823,1402
Unknown,bomMor4-1157,1555
Unknown,bomMor4-183,2147
Unknown,bomMor4-215,5459
Unknown,bomMor4-2210,3956
Unknown,bomMor4-254,1355
Unknown,bomMor4-388,5873
Unknown,bomMor4-40,1299
Unknown,bomMor4-470,1648
Unknown,bomMor4-479,1938
Unknown,bomMor4-564,2916
Unknown,bomMor4-579,1104
Unknown,bomMor4-604,1111
Unknown,bomMor4-696,1117
Unknown,bomMor4-777,2092
Unknown,bomMor4-792,1633
Unknown,bomMor4-80,1768
Unknown,bomMor4-966,1157
Unknown,bomMor5-1281,1362
Unknown,bomMor5-1431,1309
Unknown,bomMor5-1508,1288
Unknown,bomMor5-255,1334
Unknown,bomMor5-330,1514
Unknown,bomMor5-532,12799
Unknown,bomMor5-700,1021
Unknown,bomMor5-848,1219
Unknown,bomMor6-1557,1692
Unknown,bomMor6-1755,1302
Unknown,bomMor6-477,2238
Unknown,calcopis5-273,1826
Unknown,calcopis6-927,1322
Unknown,leptidea4-9,1775
Unknown,leptidea5-2213,1023
Unknown,lerAcc2-309,2374
Unknown,lerAcc4-972,1597
Unknown,manSex5-659,1443
Unknown,melCin4-423,1080
Unknown,opeBru4-478,2541
Unknown,phoSen6-518,1057
