SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-24_Hera,6411
DNA,DNA-49_Hera,1362
DNA,DNA-55_Hera,1170
DNA,DNA-56_Hera,1760
DNA,DNA-like-11_Hmel,1282
DNA,Helitron-like-12_Hmel,1680
DNA/Helitron,DNA-1_Hera,2341
DNA/Helitron,DNA-50_Hera,2046
DNA/Helitron,Helitron-2_HMM,2577
DNA/Helitron,Helitron-like-14_Hmel,1059
DNA/Helitron,Helitron-like-15_Hmel,6550
DNA/Helitron,Helitron-like-1_Hmel,1955
DNA/Helitron,Helitron-like-2_Hmel,1257
DNA/Helitron,Helitron-like-3_Hmel,1310
DNA/Helitron,Helitron-like-4b_Hmel,1216
DNA/Helitron,Helitron-like-5_Hmel,8422
DNA/Helitron,Helitron-like-6a_Hmel,1423
DNA/Helitron,Helitron-like-7_Hmel,2513
DNA/Helitron,Helitron-like-8_Hmel,2787
DNA/Mariner,nMar-12_Hmel,6260
DNA/Mariner,nMar-16_Hmel,5356
DNA/Mariner,nMar-20_Hmel,3166
DNA/Mariner,nMar-6_Hmel,2126
DNA/Mariner,nMar-9_Hmel,1045
DNA/Pif-Harbinger,DNA-3_Hera,1104
DNA/Tc3,nTc3-1_Hmel,1112
DNA/Tc3,nTc3-3_Hmel,1191
DNA/Tc3,nTc3-4_Hmel,12939
DNA/piggyBac,npiggyBac-6_Hmel,2502
NonLTR/Daphne,Daphne-2_Hmel,2612
NonLTR/I,I-1_Hmel,1454
NonLTR/SINE,Metulj-0_Hmel,31445
NonLTR/SINE,Metulj-1_Hmel,18301
NonLTR/SINE,Metulj-2_Hmel,14904
NonLTR/SINE,Metulj-4_Hmel,1263
NonLTR/SINE,Metulj-5_Hmel,20700
NonLTR/SINE,Metulj-6_Hmel,11757
NonLTR/SINE,Metulj-7_Hmel,36335
SINE,melCin4-1234,1838
SINE,melCin4-237,1471
SINE,melCin4-819,5591
Unknown,bomMor4-188,2720
Unknown,melCin4-26,1001
