SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-15_Hera,1395
DNA,DNA-24_Hera,1613
DNA,DNA-49_Hera,1310
DNA,DNA-like-11_Hmel,26339
DNA,DNA-like-6_Hmel,3156
DNA,bomMor5-1573,10948
DNA,calcopis3-556,1305
DNA,leptidea4-1462,1025
DNA,manSex5-1042,1949
DNA/Crypton,opeBru4-794,1842
DNA/Helitron,Helitron-N19B_LMi,2326
DNA/Helitron,Helitron-like-9_Hmel,1289
DNA/Mariner,MAR1_BM,1901
DNA/Mariner,Mariner-1_BM,1757
DNA/Mariner,Mariner-3_BM,2249
DNA/Mariner,Mariner-4_BM,1994
DNA/Mariner,Mariner-5_BM,1489
DNA/Mariner,nMar-9_Hmel,3498
DNA/PiggyBac,leptidea3-362,33351
DNA/Sola,bomMor3-473,1247
DNA/Sola,leptidea3-306,3922
DNA/Sola,melCin4-717,10153
DNA/TcMar-Mariner,leptidea3-384,3694
DNA/TcMar-Tc1,bomMor3-614,6624
DNA/TcMar-Tc1,leptidea3-1082,1129
DNA/TcMar-Tc1,leptidea4-430,3042
DNA/TcMar-Tc1,melCin4-228,3618
DNA/hAT,calcopis4-3,1330
DNA/hAT-Blackjack,leptidea4-1397,2351
DNA/hAT-Charlie,leptidea4-307,1074
DNA/hAT-Tip100,leptidea4-1087,2361
LINE/CR1,leptidea5-317,2958
LINE/CR1-Zenon,pieris4-653,1369
LINE/CRE-II,leptidea3-38,11963
LINE/I,leptidea3-1187,2423
LINE/Jockey,calcopis4-1073,2125
LINE/Jockey,calcopis4-330,10476
LINE/L2,leptidea3-240,21272
LINE/L2,leptidea4-48,1030
LINE/L2,leptidea4-909,1721
LINE/L2,leptidea5-1419,13754
LINE/L2,leptidea5-625,2410
LINE/L2,phoSen6-1737,1030
LINE/L2,pieris3-193,2481
LINE/LOA,leptidea4-966,1126
LINE/LOA,leptidea5-923,1156
LINE/LOA,opeBru4-550,1115
LINE/Penelope,leptidea4-750,2328
LINE/Penelope,lerAcc4-156,1103
LINE/RTE,RTE-19_Hmel,1722
LINE/RTE,RTE-1_HMe,5937
LINE/RTE,RTE-20_Hmel,3062
LINE/RTE,RTE-2_Hmel,10046
LINE/RTE,RTE-6_Hmel,1002
LINE/RTE-BovB,opeBru3-312,3251
LTR/Gypsy,leptidea4-1020,3349
LTR/Gypsy,pluXyl3-3,2213
NonLTR/CR1,ZENON_BM,16106
NonLTR/Daphne,Daphne-1_Hmel,5780
NonLTR/Daphne,Daphne-2_Hmel,3413
NonLTR/Daphne,Sake2_BM,3453
NonLTR/Daphne,Sake_BM,2156
NonLTR/Penelope,Penelope-1_HMM,6301
RC/Helitron,bomMor3-149,2677
RC/Helitron,bomMor3-155,16515
RC/Helitron,bomMor3-270,2539
RC/Helitron,calcopis3-844,1949
RC/Helitron,leptidea4-1270,2392
RC/Helitron,leptidea4-1434,5004
RC/Helitron,leptidea4-640,4755
RC/Helitron,lerAcc5-1133,1853
RC/Helitron,manSex4-62,1763
RC/Helitron,melCin4-48,9753
RC/Helitron,melCin5-391,2489
RC/Helitron,papGla5-424,3666
RC/Helitron,phoSen6-445,3972
SINE,leptidea4-903,3623
SINE,melCin4-150,1004
SINE,melCin4-237,2463
SINE,melCin4-313,1055
SINE,papPol3-368,1121
SINE,papXut4-37,1079
SINE,phoSen3-583,1260
SINE/ID,pluXyl6-2047,1081
SINE/tRNA-CR1,bomMor3-108,4029
SINE/tRNA-CR1,bomMor3-397,1767
SINE/tRNA-CR1,leptidea3-423,99213
SINE/tRNA-CR1,leptidea3-771,10233
Unknown,bomMor3-137,2892
Unknown,bomMor3-1473,3609
Unknown,bomMor3-36,2788
Unknown,bomMor3-385,4216
Unknown,bomMor4-188,3895
Unknown,bomMor4-625,1646
Unknown,bomMor5-11,2100
Unknown,bomMor5-1788,4881
Unknown,calcopis4-119,2628
Unknown,calcopis4-298,3625
Unknown,calcopis4-682,1738
Unknown,calcopis5-273,1546
Unknown,leptidea2-1686,4288
Unknown,leptidea2-279,4362
Unknown,leptidea3-1063,13135
Unknown,leptidea3-124,1578
Unknown,leptidea3-1254,1506
Unknown,leptidea3-144,10483
Unknown,leptidea3-1441,3135
Unknown,leptidea3-172,4541
Unknown,leptidea3-173,2552
Unknown,leptidea3-1789,2777
Unknown,leptidea3-188,8340
Unknown,leptidea3-197,16075
Unknown,leptidea3-2279,1031
Unknown,leptidea3-244,1445
Unknown,leptidea3-2706,2150
Unknown,leptidea3-302,3059
Unknown,leptidea3-36,2201
Unknown,leptidea3-380,20282
Unknown,leptidea3-41,2303
Unknown,leptidea3-516,3517
Unknown,leptidea3-58,1284
Unknown,leptidea3-751,1815
Unknown,leptidea3-811,1436
Unknown,leptidea3-820,4012
