SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-13_Hera,1178
DNA/Helitron,Helitron-like-5_Hmel,1209
DNA/PiggyBac,leptidea3-362,3890
DNA/Zator,lerAcc2-184,4846
DNA/hAT-Charlie,lerAcc3-1303,1061
DNA/hAT-Charlie,lerAcc3-520,1098
LTR/Gypsy,pluXyl3-3,1970
RC/Helitron,lerAcc2-65,11206
RC/Helitron,lerAcc3-221,12373
RC/Helitron,lerAcc4-198,1353
SINE,melCin4-1234,2540
SINE,melCin4-313,3128
SINE,melCin4-819,1876
SINE,papPol3-368,1539
SINE/5S-Deu,lerAcc2-6,4043
SINE/5S-Deu,lerAcc4-565,5154
SINE/5S-Deu,lerAcc6-12566,3084
SINE/B2,lerAcc4-948,11684
SINE/tRNA,lerAcc2-59,13991
SINE/tRNA,lerAcc6-12251,3368
Unknown,bomMor6-153,1942
Unknown,lerAcc2-11,2539
Unknown,lerAcc2-309,7225
Unknown,lerAcc2-345,9949
Unknown,lerAcc2-465,2966
Unknown,lerAcc2-47,1393
Unknown,lerAcc2-49,3023
Unknown,lerAcc2-81,4730
Unknown,lerAcc3-113,1851
Unknown,lerAcc3-226,1235
Unknown,lerAcc3-23,3771
Unknown,lerAcc3-32,1070
Unknown,lerAcc3-36,3204
Unknown,lerAcc3-39,7154
Unknown,lerAcc3-393,1062
Unknown,lerAcc3-442,2747
Unknown,lerAcc3-459,1226
Unknown,lerAcc3-55,1562
Unknown,lerAcc3-574,1962
Unknown,lerAcc3-59,8064
Unknown,lerAcc3-61,3221
Unknown,lerAcc3-912,1029
Unknown,lerAcc4-1018,1151
Unknown,lerAcc4-122,2361
Unknown,lerAcc4-123,2332
Unknown,lerAcc4-1237,1326
Unknown,lerAcc4-157,3395
Unknown,lerAcc4-164,1700
Unknown,lerAcc4-27,2308
Unknown,lerAcc4-405,1029
Unknown,lerAcc4-512,1302
Unknown,lerAcc4-578,2303
Unknown,lerAcc4-703,3036
Unknown,lerAcc4-972,1101
Unknown,lerAcc5-1921,1420
Unknown,lerAcc5-821,1123
Unknown,lerAcc5-93,1805
Unknown,lerAcc6-1709,1123
Unknown,lerAcc6-3683,1336
Unknown,lerAcc6-4239,2557
Unknown,lerAcc6-6344,1309
Unknown,lerAcc6-8908,1121
