SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-24_Hera,1969
DNA,DNA-43_Hera,2205
DNA/Mariner,nMar-9_Hmel,1686
DNA/TcMar-Mariner,manSex4-401,39027
DNA/Zator,lerAcc2-184,1178
DNA/hAT,calcopis5-1089,1094
DNA/hAT-Charlie,manSex4-622,1902
LINE/CR1-Zenon,manSex5-192,1994
LINE/Jockey,manSex4-2402,4104
LINE/Penelope,manSex4-222,3979
LINE/R1,manSex2-284,3290
LINE/R1,manSex3-445,2317
LINE/RTE,RTE-19_Hmel,2779
LINE/RTE,RTE-20_Hmel,1130
LINE/RTE-BovB,manSex4-136,1168
LINE/RTE-BovB,manSex4-300,7049
LINE/RTE-BovB,opeBru3-312,1435
NonLTR/CR1,ZENON_BM,3015
NonLTR/Daphne,Daphne-2_Hmel,1383
RC/Helitron,manSex4-38,11153
RC/Helitron,manSex4-543,18299
RC/Helitron,manSex4-62,5627
RC/Helitron,melCin5-1192,1779
RC/Helitron,papGla5-424,3890
SINE,manSex4-10,6924
SINE,manSex4-461,5633
SINE,melCin4-1234,9276
SINE,melCin4-150,1620
SINE,melCin4-313,1380
SINE,melCin4-819,3532
SINE,papPol3-368,2242
SINE,phoSen3-583,1711
SINE,phoSen4-1093,1141
SINE/tRNA,manSex6-430,38584
SINE/tRNA-CR1,bomMor3-108,4824
SINE/tRNA-CR1,leptidea3-423,16973
Unknown,bomMor4-188,3077
Unknown,bomMor4-80,1875
Unknown,bomMor5-1281,1359
Unknown,bomMor5-1516,2056
Unknown,bomMor5-875,1971
Unknown,lerAcc6-384,2992
Unknown,manSex2-27,4919
Unknown,manSex2-612,4812
Unknown,manSex3-183,33762
Unknown,manSex3-250,3526
Unknown,manSex3-438,6166
Unknown,manSex4-1023,6352
Unknown,manSex4-1108,2816
Unknown,manSex4-135,9199
Unknown,manSex4-140,3116
Unknown,manSex4-144,1899
Unknown,manSex4-145,6700
Unknown,manSex4-1490,4271
Unknown,manSex4-155,1415
Unknown,manSex4-156,1124
Unknown,manSex4-1564,1523
Unknown,manSex4-1591,2839
Unknown,manSex4-1639,7866
Unknown,manSex4-1760,1323
Unknown,manSex4-1776,1091
Unknown,manSex4-190,9193
Unknown,manSex4-198,4030
Unknown,manSex4-2011,9066
Unknown,manSex4-25,7065
Unknown,manSex4-3,1140
Unknown,manSex4-396,1885
Unknown,manSex4-452,3022
Unknown,manSex4-51,1009
Unknown,manSex4-523,1083
Unknown,manSex4-551,1231
Unknown,manSex4-553,1157
Unknown,manSex4-5785,1135
Unknown,manSex4-762,3629
Unknown,manSex4-775,2452
Unknown,manSex4-850,6594
Unknown,manSex4-87,10307
Unknown,manSex4-88,2817
Unknown,manSex5-1464,2005
Unknown,manSex5-1662,4079
Unknown,manSex5-2036,2250
Unknown,manSex5-2352,1480
Unknown,manSex5-2491,1543
Unknown,manSex5-253,1375
Unknown,manSex5-2541,1527
Unknown,manSex5-2629,2790
Unknown,manSex5-361,1001
Unknown,manSex5-397,1261
Unknown,manSex5-478,1759
Unknown,manSex5-545,1034
Unknown,manSex5-701,1160
Unknown,manSex5-83,2825
Unknown,manSex5-86,1740
Unknown,manSex6-1009,5428
Unknown,manSex6-111,1584
Unknown,manSex6-213,1137
Unknown,manSex6-2861,2263
Unknown,manSex6-472,4940
Unknown,melCin4-306,2876
Unknown,melCin5-916,1529
Unknown,opeBru3-12,1043
Unknown,opeBru3-680,1793
Unknown,opeBru4-478,1947
Unknown,opeBru5-1263,8935
Unknown,opeBru5-1354,2046
Unknown,opeBru5-2017,2065
Unknown,opeBru5-479,1118
Unknown,papGla4-862,13874
Unknown,papPol4-930,1193
Unknown,phoSen4-206,1008
