SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-15_Hera,1405
DNA,DNA-24_Hera,1158
DNA,DNA-43_Hera,1650
DNA,DNA-4_Hera,3840
DNA,DNA-like-6_Hmel,1855
DNA,manSex5-1042,1045
DNA/Helitron,Helitron-1_BM,2944
DNA/Helitron,Helitron-N15_LMi,1923
DNA/Helitron,Helitron-like-15_Hmel,1067
DNA/Helitron,Helitron-like-8_Hmel,2135
DNA/Helitron,Helitron-like-9_Hmel,2646
DNA/Mariner,nMar-9_Hmel,10321
DNA/Sola,bomMor3-473,1393
DNA/Sola,melCin4-717,4094
DNA/hAT,calcopis4-3,1150
LINE/CR1,melCin4-478,11769
LINE/CRE-II,melCin4-148,1003
LINE/L2,leptidea3-240,3018
LINE/R1,melCin3-1001,1255
LINE/RTE,RTE-10_Hmel,2841
LINE/RTE,RTE-11_HMM,8115
LINE/RTE,RTE-19_Hmel,10782
LINE/RTE,RTE-20_Hmel,14228
LINE/RTE,RTE-2_Hmel,7192
LINE/RTE-BovB,melCin3-277,1474
LINE/RTE-BovB,opeBru3-312,1082
LINE/RTE-BovB,phoSen4-56,1586
LINE/RTE-RTE,calcopis4-856,2067
LTR/Gypsy,pluXyl3-3,1336
NonLTR/CR1,ZENON_BM,7937
NonLTR/Daphne,Daphne-2_Hmel,2758
NonLTR/Kiri,Kiri-20_HMM,2404
NonLTR/L2,L2-10_Hmel,1848
NonLTR/L2,L2-15_Hmel,2547
NonLTR/R1,R1-1_DBi,1309
RC/Helitron,bomMor3-149,1276
RC/Helitron,bomMor3-155,4432
RC/Helitron,calcopis3-844,4992
RC/Helitron,calcopis4-1984,2058
RC/Helitron,leptidea4-1270,6646
RC/Helitron,manSex4-422,1321
RC/Helitron,melCin4-48,3202
RC/Helitron,melCin5-391,1792
RC/Helitron,opeBru4-1117,1147
RC/Helitron,papPol3-52,1133
RC/Helitron,phoSen6-445,6198
SINE,melCin3-774,6890
SINE,melCin4-1234,1521
SINE,melCin4-150,1329
SINE,melCin4-173,2462
SINE,melCin4-237,6755
SINE,melCin4-239,2448
SINE,melCin4-313,2202
SINE,melCin4-819,2163
SINE,papPol3-368,2773
SINE,papXut4-37,1079
SINE/5S-Deu,lerAcc2-6,20824
SINE/tRNA,melCin4-404,9966
SINE/tRNA,melCin5-792,31094
SINE/tRNA,phoSen3-125,1780
Unknown,bomMor3-1473,1431
Unknown,bomMor3-1592,1400
Unknown,bomMor3-531,2334
Unknown,bomMor3-753,3575
Unknown,bomMor4-1157,15709
Unknown,bomMor4-188,1563
Unknown,bomMor4-80,1426
Unknown,leptidea4-319,4031
Unknown,leptidea5-239,2781
Unknown,leptidea5-3330,10543
Unknown,leptidea5-3815,2953
Unknown,leptidea5-5073,2373
Unknown,leptidea5-55,4102
Unknown,leptidea6-1186,1080
Unknown,lerAcc2-309,2090
Unknown,lerAcc3-1621,1166
Unknown,lerAcc4-972,1568
Unknown,lerAcc5-1163,3364
Unknown,lerAcc5-1747,1904
Unknown,manSex5-1223,1252
Unknown,manSex5-569,7373
Unknown,manSex5-86,2705
Unknown,melCin3-1586,3213
Unknown,melCin3-369,2573
Unknown,melCin3-59,5306
Unknown,melCin3-6,17880
Unknown,melCin3-64,1370
Unknown,melCin3-708,9654
Unknown,melCin3-74,1640
Unknown,melCin4-137,1480
Unknown,melCin4-1401,1732
Unknown,melCin4-1566,1452
Unknown,melCin4-1716,16804
Unknown,melCin4-186,2406
Unknown,melCin4-213,2386
Unknown,melCin4-244,1951
Unknown,melCin4-26,1639
Unknown,melCin4-30,2823
Unknown,melCin4-306,4043
Unknown,melCin4-318,1339
Unknown,melCin4-332,1110
Unknown,melCin4-36,1929
Unknown,melCin4-363,2771
Unknown,melCin4-369,1367
Unknown,melCin4-377,1380
Unknown,melCin4-421,2366
Unknown,melCin4-423,3443
Unknown,melCin4-424,1334
Unknown,melCin4-469,2738
Unknown,melCin4-54,1059
Unknown,melCin4-540,2061
Unknown,melCin4-557,3734
Unknown,melCin4-656,1263
Unknown,melCin4-71,1362
Unknown,melCin4-84,3751
Unknown,melCin4-851,2111
Unknown,melCin4-998,1692
Unknown,melCin5-136,1412
Unknown,melCin5-1401,1082
Unknown,melCin5-143,1261
Unknown,melCin5-149,2110
Unknown,melCin5-2491,1510
Unknown,melCin5-2622,2839
Unknown,melCin5-417,2496
Unknown,melCin5-44,1440
Unknown,melCin5-498,1133
Unknown,melCin5-7221,25411
Unknown,melCin5-79,1451
Unknown,melCin5-890,1112
Unknown,melCin6-1136,1204
Unknown,melCin6-311,1513
Unknown,melCin6-593,8965
Unknown,melCin6-80,11994
Unknown,melCin6-95,12454
Unknown,opeBru4-446,1142
Unknown,opeBru4-478,4447
Unknown,opeBru5-1263,1465
Unknown,papGla2-10,1007
Unknown,papGla4-862,3512
Unknown,papXut5-148,1332
Unknown,papXut5-277,1037
Unknown,phoSen4-1812,1293
Unknown,phoSen4-853,1011
Unknown,phoSen5-97,1657
Unknown,phoSen6-2681,1242
Unknown,phoSen6-3837,3176
Unknown,phoSen6-518,2228
Unknown,pluXyl5-556,3362
