SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-11_Hera,1519
DNA,DNA-13_Hera,1446
DNA,DNA-24_Hera,7588
DNA,DNA-43_Hera,9238
DNA,opeBru4-888,1106
DNA/Academ,opeBru4-600,2037
DNA/CMC-EnSpm,opeBru5-24,1423
DNA/Crypton,melCin5-4138,1629
DNA/Helitron,Helitron-N10_LMi,2717
DNA/Helitron,Helitron-N1_DBi,1656
DNA/Helitron,Helitron-like-15_Hmel,1296
DNA/Helitron,Helitron-like-2_Hmel,1571
DNA/Helitron,Helitron-like-5_Hmel,4934
DNA/hAT,calcopis4-3,11349
DNA/hAT-Charlie,bomMor4-99,1867
DNA/hAT-Charlie,bomMor5-285,1847
LINE,opeBru3-413,7180
LINE,opeBru3-645,1847
LINE/CR1,melCin4-478,1642
LINE/CR1,opeBru3-1125,5019
LINE/CR1,opeBru4-358,1211
LINE/CRE,opeBru4-282,7506
LINE/CRE,opeBru4-611,11120
LINE/CRE-II,opeBru4-1894,2758
LINE/CRE-II,opeBru4-396,4341
LINE/CRE-II,opeBru4-950,3524
LINE/I,opeBru3-253,12050
LINE/Jockey,opeBru3-422,2038
LINE/Jockey,opeBru4-553,1563
LINE/L2,leptidea5-913,2491
LINE/L2,opeBru3-1740,3030
LINE/L2,opeBru4-1159,1688
LINE/L2,opeBru4-220,3580
LINE/L2,opeBru4-724,1056
LINE/L2,opeBru4-811,1017
LINE/L2,phoSen5-1327,1906
LINE/L2,pluXyl4-78,3947
LINE/RTE,RTE-10_Hmel,1017
LINE/RTE,RTE-11_HMM,1585
LINE/RTE,RTE-15_Hmel,4701
LINE/RTE,RTE-19_Hmel,15603
LINE/RTE,RTE-20_Hmel,16612
LINE/RTE,RTE-2_Hmel,16335
LINE/RTE-BovB,leptidea6-432,5978
LINE/RTE-BovB,opeBru3-312,62204
LINE/RTE-RTE,calcopis4-856,1389
LINE/RTE-RTE,manSex5-426,4730
LTR,RETRO-5_Hera,15714
LTR/Gypsy,opeBru3-90,13707
LTR/Gypsy,opeBru5-1096,1643
LTR/Gypsy,pluXyl3-3,64537
NonLTR,RETRO-32_Hera,1860
NonLTR/CR1,ZENON_BM,10333
NonLTR/CR1,Zenon-2_Hmel,3189
NonLTR/CR1,Zenon-3_Hmel,21465
