SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,opeBru4-888,1084
DNA/CMC-Transib,papPol5-587,2184
DNA/Helitron,DNA-1_Hera,1072
DNA/Helitron,Helitron-like-5_Hmel,1193
DNA/Mariner,nMar-16_Hmel,1117
DNA/Mariner,nMar-9_Hmel,1684
DNA/TcMar-Mariner,papGla3-278,1127
DNA/TcMar-Mariner,papGla5-870,2504
DNA/TcMar-Tigger,papGla6-153,1206
DNA/hAT,calcopis4-3,2085
LINE/LOA,papGla3-235,2038
LINE/Penelope,manSex4-222,1107
LINE/R1,papPol3-351,1465
LINE/RTE,RTE-20_Hmel,1224
LINE/RTE,RTE-2_Hmel,1491
LINE/RTE-BovB,manSex6-557,4316
LINE/RTE-BovB,opeBru3-312,16904
LINE/RTE-BovB,papGla4-317,1178
LTR/Copia,papGla3-174,1875
NonLTR/CR1,ZENON_BM,1781
NonLTR/RTE,RTE-3_BM,1045
RC/Helitron,calcopis3-844,1370
RC/Helitron,manSex4-62,2014
RC/Helitron,papGla3-331,1447
RC/Helitron,papGla4-172,1054
SINE,melCin4-1234,1120
SINE,melCin4-819,2606
SINE,papPol3-368,2695
SINE,papXut4-113,1145
SINE,papXut4-37,1727
SINE,phoSen3-583,2422
SINE,phoSen4-1123,1905
SINE/tRNA,papGla3-521,7850
SINE/tRNA,phoSen3-125,2044
Unknown,bomMor3-137,1295
Unknown,bomMor4-1157,2457
Unknown,bomMor4-188,3671
Unknown,bomMor4-40,4463
Unknown,bomMor4-80,1171
Unknown,bomMor5-323,2002
Unknown,calcopis4-119,3084
Unknown,calcopis4-565,1318
Unknown,calcopis4-682,2747
Unknown,calcopis5-217,1481
Unknown,calcopis5-273,7638
Unknown,manSex5-1273,1497
Unknown,manSex5-134,7793
Unknown,manSex5-545,2750
Unknown,manSex5-86,4968
Unknown,melCin4-26,6230
Unknown,melCin4-71,2409
Unknown,melCin5-587,1088
Unknown,opeBru4-478,1674
Unknown,opeBru5-1263,2387
Unknown,papGla2-10,14279
Unknown,papGla2-392,12078
Unknown,papGla3-120,2027
Unknown,papGla3-126,6416
Unknown,papGla3-129,8182
Unknown,papGla3-143,3630
Unknown,papGla3-144,4364
Unknown,papGla3-186,1154
Unknown,papGla3-208,10065
Unknown,papGla3-22,1733
Unknown,papGla3-254,2519
Unknown,papGla3-272,1972
Unknown,papGla3-53,2461
Unknown,papGla3-661,1702
Unknown,papGla3-78,7608
Unknown,papGla3-90,3998
Unknown,papGla3-91,9218
Unknown,papGla4-169,1264
Unknown,papGla4-183,5583
Unknown,papGla4-1891,1780
Unknown,papGla4-193,3131
Unknown,papGla4-229,7375
Unknown,papGla4-245,1414
Unknown,papGla4-2655,2150
Unknown,papGla4-302,1786
Unknown,papGla4-314,18110
Unknown,papGla4-385,1178
Unknown,papGla4-46,1352
Unknown,papGla4-567,1090
Unknown,papGla4-601,1319
Unknown,papGla4-738,1262
Unknown,papGla4-75,2124
Unknown,papGla4-765,1200
Unknown,papGla4-862,5422
Unknown,papGla5-2866,6830
Unknown,papGla5-353,1168
Unknown,papGla5-688,1008
Unknown,papGla5-980,3413
Unknown,papGla6-1418,1590
Unknown,papGla6-1813,1086
Unknown,papPol3-459,5276
Unknown,papPol3-68,1307
Unknown,papPol4-267,1881
Unknown,papPol5-74,1968
Unknown,papXut4-1332,24950
Unknown,papXut5-260,28291
Unknown,papXut6-225,1171
Unknown,papXut6-2692,29603
Unknown,papXut6-3234,3159
