SUPERFAMILIES,SUBFAMILIES,COPIES
DNA/hAT,calcopis4-3,1371
NonLTR/RTE,RTE-3_BM,3620
RC/Helitron,manSex4-38,2484
RC/Helitron,papPol3-52,6510
SINE,melCin4-173,2082
SINE,papPol3-368,93132
SINE,papXut4-37,1111
SINE,phoSen3-583,7744
SINE,phoSen4-1123,9116
SINE/MIR,papPol5-2545,4581
SINE/tRNA,lerAcc6-12251,1366
SINE/tRNA,papGla3-521,2399
SINE/tRNA,pluXyl3-611,1320
Unknown,bomMor4-80,3294
Unknown,calcopis4-119,3933
Unknown,calcopis4-682,1604
Unknown,leptidea5-399,1530
Unknown,leptidea5-55,1009
Unknown,manSex4-850,3041
Unknown,manSex4-87,1438
Unknown,opeBru3-680,1511
Unknown,papGla4-314,4507
Unknown,papGla5-126,1264
Unknown,papGla5-762,1435
Unknown,papPol2-330,5771
Unknown,papPol3-354,1330
Unknown,papPol3-38,1118
Unknown,papPol3-459,1160
Unknown,papPol3-56,1074
Unknown,papPol3-569,4502
Unknown,papPol3-584,1211
Unknown,papPol3-68,4488
Unknown,papPol3-81,3116
Unknown,papPol3-849,3124
Unknown,papPol4-116,1140
Unknown,papPol4-22,2946
Unknown,papPol4-266,2536
Unknown,papPol4-267,1993
Unknown,papPol4-275,2295
Unknown,papPol4-279,19039
Unknown,papPol4-298,1119
Unknown,papPol4-38,3946
Unknown,papPol4-545,1216
Unknown,papPol4-640,17445
Unknown,papPol4-86,1224
Unknown,papPol4-930,3179
Unknown,papPol5-1986,10751
Unknown,papPol5-887,2767
Unknown,papPol6-2337,11649
Unknown,papPol6-2461,17473
Unknown,papPol6-423,1340
Unknown,papPol6-640,1126
Unknown,papXut4-1332,9361
Unknown,papXut4-234,2237
Unknown,papXut6-2692,10526
Unknown,papXut6-802,14525
Unknown,phoSen4-1812,1279
Unknown,pieris5-9,1198
