SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-24_Hera,2146
DNA,bomMor5-1573,1614
DNA/hAT-Charlie,bomMor5-285,1536
RC/Helitron,calcopis3-844,3160
RC/Helitron,manSex4-38,1725
RC/Helitron,papPol3-52,4007
RC/Helitron,papXut4-57,3735
RC/Helitron,phoSen6-445,1307
SINE,papPol3-368,76684
SINE,papXut4-113,4022
SINE,papXut4-37,2737
SINE/MIR,papPol5-2545,10087
SINE/tRNA,lerAcc2-59,1406
SINE/tRNA,lerAcc6-12251,5026
SINE/tRNA,papGla3-521,5339
SINE/tRNA,pluXyl3-611,3937
Unknown,bomMor4-80,1007
Unknown,calcopis4-682,1604
Unknown,calcopis5-273,1468
Unknown,leptidea5-399,4864
Unknown,manSex4-850,1397
Unknown,manSex4-87,1681
Unknown,melCin5-282,1050
Unknown,opeBru3-680,1290
Unknown,papGla4-314,2439
Unknown,papPol2-330,5910
Unknown,papPol3-1062,1058
Unknown,papPol3-1281,1006
Unknown,papPol3-354,1123
Unknown,papPol3-38,2048
Unknown,papPol3-569,1900
Unknown,papPol3-584,3099
Unknown,papPol3-68,1046
Unknown,papPol4-267,1571
Unknown,papPol4-930,6400
Unknown,papPol5-887,2664
Unknown,papPol5-916,1468
Unknown,papPol6-166,1306
Unknown,papXut4-1332,7638
Unknown,papXut4-1499,1493
Unknown,papXut4-32,2103
Unknown,papXut4-38,1648
Unknown,papXut4-49,1660
Unknown,papXut4-52,1587
Unknown,papXut4-54,2019
Unknown,papXut4-733,2130
Unknown,papXut4-778,2346
Unknown,papXut5-101,1436
Unknown,papXut5-12,1671
Unknown,papXut5-260,1780
Unknown,papXut5-87,1332
Unknown,papXut5-953,13067
Unknown,papXut6-2692,10798
Unknown,papXut6-281,2474
Unknown,papXut6-3234,1073
Unknown,papXut6-802,13619
Unknown,phoSen4-1812,1364
