SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-43_Hera,8190
DNA/Academ,phoSen4-1352,1524
DNA/Helitron,DNA-1_Hera,1181
DNA/Helitron,Helitron-like-8_Hmel,1700
DNA/Helitron,Helitron-like-9_Hmel,1133
DNA/Mariner,nMar-9_Hmel,1899
DNA/PIF-Harbinger,phoSen4-498,2566
DNA/hAT,calcopis4-3,5440
DNA/hAT-Ac,phoSen5-1082,1240
LINE/RTE,RTE-20_Hmel,1906
LINE/RTE-BovB,phoSen4-56,12066
LTR/Gypsy,pluXyl3-3,1208
NonLTR/CR1,ZENON_BM,2297
NonLTR/Daphne,Daphne-2_Hmel,1758
NonLTR/L2,L2-10_Hmel,1445
RC/Helitron,bomMor4-165,1007
RC/Helitron,calcopis3-844,9469
RC/Helitron,manSex4-543,2115
RC/Helitron,opeBru4-2482,1281
RC/Helitron,papGla5-424,2313
RC/Helitron,phoSen4-2907,1264
SINE,melCin4-1234,1844
SINE,melCin4-819,1023
SINE,papPol3-368,2496
SINE,papXut4-37,3370
SINE,phoSen3-583,26245
SINE,phoSen4-1093,6743
SINE,phoSen4-1123,13163
SINE/tRNA,phoSen3-125,18939
SINE/tRNA,phoSen3-267,3319
SINE/tRNA-CR1,bomMor3-108,2463
SINE/tRNA-CR1,bomMor3-397,5007
Unknown,bomMor4-188,4006
Unknown,bomMor5-423,1188
Unknown,bomMor5-875,1207
Unknown,calcopis4-565,2901
Unknown,lerAcc6-7598,3810
Unknown,manSex5-1216,1897
Unknown,manSex5-2541,1399
Unknown,manSex5-545,1207
Unknown,manSex5-86,4071
Unknown,manSex6-213,1180
Unknown,melCin4-244,2403
Unknown,melCin4-26,1625
Unknown,melCin4-71,1673
Unknown,melCin4-84,1335
Unknown,melCin4-851,5850
Unknown,melCin5-2491,1178
Unknown,opeBru3-680,2821
Unknown,opeBru4-1391,2225
Unknown,opeBru4-478,3419
Unknown,opeBru5-1263,1204
Unknown,opeBru5-1354,4561
Unknown,opeBru5-1675,3441
Unknown,opeBru5-914,1070
Unknown,papXut4-52,1587
Unknown,phoSen2-437,3329
Unknown,phoSen2-609,1668
Unknown,phoSen3-192,1750
Unknown,phoSen3-440,2878
Unknown,phoSen3-491,2276
Unknown,phoSen4-110,1574
Unknown,phoSen4-133,1765
Unknown,phoSen4-1339,2562
Unknown,phoSen4-1371,1282
Unknown,phoSen4-1461,3820
Unknown,phoSen4-1468,2973
Unknown,phoSen4-1566,4987
Unknown,phoSen4-17,1571
Unknown,phoSen4-1812,12615
Unknown,phoSen4-185,3236
Unknown,phoSen4-206,1310
Unknown,phoSen4-262,5285
Unknown,phoSen4-302,1881
Unknown,phoSen4-486,1234
Unknown,phoSen4-513,1054
Unknown,phoSen4-567,1217
Unknown,phoSen4-674,1839
Unknown,phoSen4-69,1024
Unknown,phoSen4-704,1728
Unknown,phoSen4-723,2067
Unknown,phoSen4-971,1301
Unknown,phoSen5-110,4935
Unknown,phoSen5-1372,2390
Unknown,phoSen5-1403,1957
Unknown,phoSen5-158,1710
Unknown,phoSen5-208,3260
Unknown,phoSen5-220,1667
Unknown,phoSen5-29,5128
Unknown,phoSen5-375,1012
Unknown,phoSen5-751,1083
Unknown,phoSen5-920,12086
Unknown,phoSen6-1279,2349
Unknown,phoSen6-1281,2061
Unknown,phoSen6-1523,5619
Unknown,phoSen6-1953,1732
Unknown,phoSen6-267,1143
Unknown,phoSen6-3191,3016
Unknown,phoSen6-3837,1432
Unknown,phoSen6-4046,4009
Unknown,phoSen6-467,2067
Unknown,phoSen6-518,1043
