SUPERFAMILIES,SUBFAMILIES,COPIES
DNA,DNA-43_Hera,8968
DNA,pluXyl2-174,3352
DNA/PiggyBac,pluXyl2-191,14658
DNA/TcMar-m44,pluXyl3-112,2747
DNA/hAT,calcopis4-3,1928
DNA/hAT-Ac,pluXyl4-693,1492
LINE/L2,pluXyl4-78,2024
LINE/R1,pluXyl3-21,6327
LINE/RTE,RTE-19_Hmel,6650
LINE/RTE,RTE-20_Hmel,3867
LINE/RTE,RTE-2_Hmel,1363
LTR/Gypsy,pluXyl3-3,18535
NonLTR,RETRO-32_Hera,1340
NonLTR/L2,L2-10_Hmel,1984
NonLTR/L2,L2-12_Hmel,1034
RC/Helitron,papGla5-424,2737
SINE,papPol3-368,1535
SINE,phoSen3-583,7197
SINE,pluXyl6-5288,2201
SINE/5S-Deu,lerAcc6-12566,1772
SINE/tRNA,lerAcc2-59,4326
SINE/tRNA,pluXyl3-60,4523
SINE/tRNA,pluXyl3-611,11527
Unknown,bomMor4-493,2769
Unknown,bomMor5-875,1286
Unknown,leptidea5-3919,1748
Unknown,lerAcc5-175,2232
Unknown,manSex6-472,5189
Unknown,melCin4-377,2791
Unknown,opeBru3-680,1701
Unknown,opeBru5-1675,2122
Unknown,opeBru6-1817,2204
Unknown,phoSen4-1812,5365
Unknown,phoSen5-220,1522
Unknown,pluXyl2-105,4375
Unknown,pluXyl2-246,2815
Unknown,pluXyl2-268,7964
Unknown,pluXyl2-271,4929
Unknown,pluXyl2-453,3637
Unknown,pluXyl2-68,3509
Unknown,pluXyl2-84,3378
Unknown,pluXyl2-87,1980
Unknown,pluXyl3-1128,1012
Unknown,pluXyl3-120,1112
Unknown,pluXyl3-1306,1298
Unknown,pluXyl3-1395,1088
Unknown,pluXyl3-144,3458
Unknown,pluXyl3-146,1123
Unknown,pluXyl3-154,2774
Unknown,pluXyl3-177,4811
Unknown,pluXyl3-184,1765
Unknown,pluXyl3-187,1978
Unknown,pluXyl3-206,1359
Unknown,pluXyl3-242,1160
Unknown,pluXyl3-248,4040
Unknown,pluXyl3-29,8091
Unknown,pluXyl3-399,4570
Unknown,pluXyl3-468,1032
Unknown,pluXyl3-493,7049
Unknown,pluXyl3-694,1319
Unknown,pluXyl3-703,2086
Unknown,pluXyl3-745,3199
Unknown,pluXyl3-818,1766
Unknown,pluXyl3-904,4341
Unknown,pluXyl3-914,1507
Unknown,pluXyl4-10,8119
Unknown,pluXyl4-1022,1304
Unknown,pluXyl4-1054,1408
Unknown,pluXyl4-13,1040
Unknown,pluXyl4-137,1128
Unknown,pluXyl4-140,1042
Unknown,pluXyl4-1405,1408
Unknown,pluXyl4-154,4249
Unknown,pluXyl4-1712,1746
Unknown,pluXyl4-195,1208
Unknown,pluXyl4-226,1442
Unknown,pluXyl4-228,9917
Unknown,pluXyl4-243,1768
Unknown,pluXyl4-257,3479
Unknown,pluXyl4-295,3729
Unknown,pluXyl4-309,1885
Unknown,pluXyl4-3232,1742
Unknown,pluXyl4-40,2077
Unknown,pluXyl4-433,2065
Unknown,pluXyl4-45,1361
Unknown,pluXyl4-477,1261
Unknown,pluXyl4-570,2369
Unknown,pluXyl4-574,2087
Unknown,pluXyl4-59,1126
Unknown,pluXyl4-63,1067
Unknown,pluXyl4-648,1413
Unknown,pluXyl4-929,1550
Unknown,pluXyl5-1139,1969
Unknown,pluXyl5-144,1445
Unknown,pluXyl5-1486,1016
Unknown,pluXyl5-265,1878
Unknown,pluXyl5-40,1035
Unknown,pluXyl5-495,1184
Unknown,pluXyl5-556,2781
Unknown,pluXyl5-911,2042
Unknown,pluXyl6-1276,9486
Unknown,pluXyl6-1342,2324
